customer_id,tier,lifetime_value,feedback_count,negative_count,avg_churn_risk_score,max_priority_score
CUST-001199,Bronze,109.76,21,14,0.37333333333333335,57.7
CUST-001400,Bronze,200.24,12,8,0.37333333333333335,58.2
CUST-005518,Bronze,165.82,12,8,0.37333333333333335,59.2
CUST-007724,Bronze,139.27,12,8,0.37333333333333335,54.5
CUST-000929,Bronze,149.85,12,8,0.37333333333333335,59.4
CUST-006623,Bronze,143.5,12,8,0.37333333333333335,77.1
CUST-006474,Bronze,165.75,6,4,0.37333333333333335,55.7
CUST-000491,Bronze,127.86,6,4,0.37333333333333335,50.1
CUST-003395,Bronze,109.47,12,8,0.37333333333333335,55.1
CUST-007284,Bronze,90.6,12,8,0.37333333333333335,55.8
CUST-002520,Bronze,163.94,6,4,0.37333333333333335,53.2
CUST-004513,Bronze,141.15,12,8,0.37333333333333335,58.2
CUST-006382,Bronze,90.72,12,8,0.37333333333333335,52.8
CUST-005364,Bronze,165.14,12,8,0.37333333333333335,54.2
CUST-001709,Bronze,161.51,12,8,0.37333333333333335,56.9
CUST-003191,Bronze,172.76,15,10,0.3733333333333333,58.3
CUST-004525,Bronze,110.33,18,12,0.3733333333333333,55.8
CUST-004109,Bronze,132.4,15,10,0.3733333333333333,58.9
CUST-003050,Bronze,178.78,9,6,0.3733333333333333,57.2
CUST-003550,Bronze,82.12,9,6,0.3733333333333333,51.4
CUST-000889,Bronze,162.84,15,10,0.3733333333333333,59.2
CUST-004401,Bronze,241.99,9,6,0.3733333333333333,60.9
CUST-000283,Bronze,158.19,15,10,0.3733333333333333,76.7
CUST-006157,Bronze,141.49,18,12,0.3733333333333333,57.7
CUST-006979,Bronze,227.41,15,10,0.3733333333333333,61.2
CUST-000237,Bronze,136.24,15,10,0.3733333333333333,55.1
CUST-001438,Bronze,135.2,9,6,0.3733333333333333,58.1
CUST-005125,Bronze,149.08,9,6,0.3733333333333333,53.7
CUST-003725,Bronze,142.27,15,10,0.3733333333333333,56.9
CUST-002782,Bronze,100.49,15,10,0.3733333333333333,56.3
CUST-000137,Bronze,119.94,15,10,0.3733333333333333,54.2
CUST-001028,Bronze,186.99,9,6,0.3733333333333333,56.9
CUST-006401,Bronze,128.61,9,6,0.3733333333333333,52.6
CUST-003695,Bronze,88.32,15,10,0.3733333333333333,56.2
CUST-004898,Bronze,133.05,9,6,0.3733333333333333,55.7
CUST-004498,Bronze,137.73,9,6,0.3733333333333333,56.5
CUST-007138,Bronze,216.63,18,12,0.3733333333333333,59.8
CUST-005893,Bronze,177.9,9,6,0.3733333333333333,53.4
CUST-004492,Bronze,100.75,15,10,0.3733333333333333,55.0
CUST-002976,Bronze,134.03,15,10,0.3733333333333333,57.8
CUST-004772,Bronze,290.89,15,10,0.3733333333333333,61.2
CUST-003357,Bronze,146.87,9,6,0.3733333333333333,56.1
CUST-000214,Bronze,142.33,15,10,0.3733333333333333,58.2
CUST-000571,Bronze,207.89,15,10,0.3733333333333333,60.5
CUST-000497,Bronze,208.63,9,6,0.3733333333333333,56.5
CUST-001784,Bronze,179.98,15,10,0.3733333333333333,58.5
CUST-001200,Bronze,51.7,9,6,0.3733333333333333,55.4
CUST-007786,Bronze,103.24,18,12,0.3733333333333333,55.5
CUST-003474,Bronze,165.09,15,10,0.3733333333333333,58.2
CUST-006361,Bronze,135.36,20,13,0.371,78.1
CUST-003023,Bronze,181.9,20,13,0.371,57.0
CUST-001793,Bronze,198.94,20,13,0.371,80.5
CUST-007928,Bronze,97.23,17,11,0.37058823529411766,56.5
CUST-007589,Bronze,152.51,17,11,0.37058823529411766,59.2
CUST-003226,Bronze,163.77,17,11,0.37058823529411766,55.6
CUST-003923,Bronze,147.28,17,11,0.37058823529411766,59.2
CUST-003614,Bronze,176.05,17,11,0.37058823529411766,59.1
CUST-004919,Bronze,70.51,17,11,0.37058823529411766,56.1
CUST-000347,Bronze,115.82,17,11,0.37058823529411766,56.4
CUST-004510,Bronze,223.72,17,11,0.37058823529411766,62.0
CUST-004299,Bronze,164.4,17,11,0.37058823529411766,58.0
CUST-007065,Bronze,98.33,17,11,0.37058823529411766,55.2
CUST-004160,Bronze,268.88,17,11,0.37058823529411766,62.6
CUST-006586,Bronze,151.79,17,11,0.37058823529411766,59.4
CUST-003631,Bronze,185.01,17,11,0.37058823529411766,59.1
CUST-000770,Bronze,98.32,17,11,0.37058823529411766,57.3
CUST-001141,Bronze,124.82,17,11,0.37058823529411766,57.5
CUST-001762,Bronze,363.58,14,9,0.37,61.7
CUST-003198,Bronze,154.46,14,9,0.37,59.8
CUST-003174,Bronze,191.84,14,9,0.37,59.2
CUST-007894,Bronze,141.7,14,9,0.37,58.7
CUST-004214,Bronze,134.04,14,9,0.37,56.8
CUST-005007,Bronze,195.88,14,9,0.37,60.1
CUST-006640,Bronze,193.06,14,9,0.37,58.9
CUST-007804,Bronze,240.55,14,9,0.37,58.2
CUST-001016,Bronze,216.57,14,9,0.37,60.0
CUST-003644,Bronze,206.8,14,9,0.37,61.2
CUST-005525,Bronze,244.87,14,9,0.37,60.6
CUST-001389,Bronze,302.78,14,9,0.37,82.3
CUST-007003,Bronze,147.43,14,9,0.37,57.8
CUST-005006,Bronze,124.09,14,9,0.37,56.3
CUST-006987,Bronze,183.98,14,9,0.37,58.9
CUST-007933,Bronze,389.1,14,9,0.37,61.4
CUST-005885,Bronze,356.8,14,9,0.37,61.6
CUST-003224,Bronze,115.9,14,9,0.37,55.2
CUST-006889,Bronze,97.86,14,9,0.37,56.9
CUST-001356,Bronze,135.62,14,9,0.37,57.0
CUST-001294,Bronze,101.02,14,9,0.37,54.9
CUST-003782,Bronze,122.25,14,9,0.37,55.1
CUST-002829,Bronze,344.76,14,9,0.37,62.8
CUST-002154,Bronze,207.33,14,9,0.37,61.4
CUST-005943,Bronze,127.37,14,9,0.37,56.4
CUST-000081,Bronze,136.47,14,9,0.37,56.8
CUST-004434,Bronze,150.81,11,7,0.3690909090909091,56.5
CUST-006466,Bronze,139.53,11,7,0.3690909090909091,52.9
CUST-001056,Bronze,124.92,11,7,0.3690909090909091,55.0
CUST-004763,Bronze,285.26,11,7,0.3690909090909091,58.8
CUST-006558,Bronze,170.57,11,7,0.3690909090909091,55.2
CUST-006479,Bronze,175.16,11,7,0.3690909090909091,59.4
CUST-002523,Bronze,225.61,11,7,0.3690909090909091,57.5
CUST-000156,Bronze,114.28,11,7,0.3690909090909091,56.4
CUST-002478,Bronze,139.83,11,7,0.3690909090909091,58.9
CUST-006257,Bronze,163.15,11,7,0.3690909090909091,59.0
CUST-000861,Bronze,107.06,11,7,0.3690909090909091,54.0
CUST-006266,Bronze,118.16,11,7,0.3690909090909091,55.6
CUST-005965,Bronze,133.44,22,14,0.3690909090909091,58.5
CUST-006018,Bronze,216.46,11,7,0.3690909090909091,60.8
CUST-006943,Bronze,90.69,22,14,0.3690909090909091,57.0
CUST-007024,Bronze,150.3,11,7,0.3690909090909091,55.1
CUST-003381,Bronze,107.29,11,7,0.3690909090909091,72.5
CUST-006362,Bronze,113.93,22,14,0.3690909090909091,57.5
CUST-005264,Bronze,190.51,11,7,0.3690909090909091,60.0
CUST-007268,Bronze,141.38,22,14,0.3690909090909091,59.3
CUST-000634,Bronze,129.12,11,7,0.3690909090909091,55.5
CUST-002118,Bronze,129.58,11,7,0.3690909090909091,54.4
CUST-006970,Bronze,110.31,11,7,0.3690909090909091,55.2
CUST-001416,Bronze,159.32,11,7,0.3690909090909091,56.5
CUST-005540,Bronze,225.82,11,7,0.3690909090909091,57.6
CUST-005213,Bronze,191.33,11,7,0.3690909090909091,58.1
CUST-003067,Bronze,153.23,19,12,0.3684210526315789,59.9
CUST-005323,Bronze,199.78,19,12,0.3684210526315789,57.9
CUST-003487,Bronze,225.69,19,12,0.3684210526315789,61.2
CUST-004139,Bronze,182.3,19,12,0.3684210526315789,61.0
CUST-001427,Bronze,106.29,19,12,0.3684210526315789,56.6
CUST-003524,Bronze,238.2,19,12,0.3684210526315789,62.2
CUST-002370,Bronze,79.76,16,10,0.3675,55.4
CUST-002102,Bronze,210.67,8,5,0.3675,55.7
CUST-002330,Bronze,144.8,8,5,0.3675,50.4
CUST-002981,Bronze,190.77,16,10,0.3675,59.0
CUST-007684,Bronze,243.81,16,10,0.3675,62.1
CUST-006247,Bronze,83.73,16,10,0.3675,56.0
CUST-005708,Bronze,140.26,16,10,0.3675,57.2
CUST-004266,Bronze,216.7,16,10,0.3675,60.9
CUST-007115,Bronze,174.23,16,10,0.3675,58.3
CUST-000756,Bronze,102.86,16,10,0.3675,55.8
CUST-002890,Bronze,204.85,16,10,0.3675,60.7
CUST-003500,Bronze,215.17,8,5,0.3675,54.7
CUST-001025,Bronze,150.25,8,5,0.3675,54.2
CUST-004217,Bronze,184.04,8,5,0.3675,57.8
CUST-004554,Bronze,163.59,16,10,0.3675,60.1
CUST-006416,Bronze,163.32,16,10,0.3675,79.0
CUST-003186,Bronze,169.78,8,5,0.3675,54.2
CUST-000650,Bronze,179.45,8,5,0.3675,58.6
CUST-006397,Bronze,96.4,16,10,0.3675,56.8
CUST-003232,Bronze,57.69,16,10,0.3675,56.0
CUST-006379,Bronze,143.8,8,5,0.3675,55.1
CUST-005883,Bronze,266.14,16,10,0.3675,61.0
CUST-005520,Bronze,120.73,21,13,0.3666666666666667,58.3
CUST-000154,Bronze,154.36,21,13,0.3666666666666667,59.5
CUST-002253,Bronze,138.02,21,13,0.3666666666666667,58.8
CUST-003243,Bronze,128.94,21,13,0.3666666666666667,58.1
CUST-004630,Bronze,233.4,21,13,0.3666666666666667,62.0
CUST-005499,Bronze,141.1,21,13,0.3666666666666667,58.1
CUST-006672,Bronze,293.55,13,8,0.36615384615384616,61.1
CUST-002861,Bronze,122.54,13,8,0.36615384615384616,56.8
CUST-003163,Bronze,178.54,13,8,0.36615384615384616,55.2
CUST-004703,Bronze,126.61,13,8,0.36615384615384616,76.9
CUST-002421,Bronze,350.79,13,8,0.36615384615384616,61.8
CUST-002561,Bronze,108.9,13,8,0.36615384615384616,54.5
CUST-004622,Bronze,177.77,13,8,0.36615384615384616,59.6
CUST-004449,Bronze,174.25,13,8,0.36615384615384616,58.2
CUST-002893,Bronze,83.1,13,8,0.36615384615384616,54.1
CUST-007148,Bronze,200.73,13,8,0.36615384615384616,58.3
CUST-005624,Bronze,175.01,13,8,0.36615384615384616,57.9
CUST-003156,Bronze,165.99,13,8,0.36615384615384616,57.7
CUST-001901,Bronze,191.29,13,8,0.36615384615384616,60.1
CUST-002164,Bronze,137.61,13,8,0.36615384615384616,56.5
CUST-001289,Bronze,118.13,13,8,0.36615384615384616,54.9
CUST-002202,Bronze,127.85,13,8,0.36615384615384616,56.5
CUST-005725,Bronze,186.47,13,8,0.36615384615384616,60.0
CUST-001888,Bronze,95.62,13,8,0.36615384615384616,56.3
CUST-004039,Bronze,93.75,13,8,0.36615384615384616,54.0
CUST-006101,Bronze,187.89,13,8,0.36615384615384616,59.0
CUST-002191,Bronze,124.74,13,8,0.36615384615384616,53.8
CUST-005317,Bronze,239.68,13,8,0.36615384615384616,81.4
CUST-003042,Bronze,138.41,13,8,0.36615384615384616,56.6
CUST-003708,Bronze,140.95,13,8,0.36615384615384616,56.0
CUST-000948,Bronze,145.71,13,8,0.36615384615384616,56.1
CUST-000963,Bronze,140.42,13,8,0.36615384615384616,56.6
CUST-005210,Bronze,89.55,18,11,0.3655555555555556,56.3
CUST-003085,Bronze,139.84,18,11,0.3655555555555556,58.2
CUST-005428,Bronze,205.03,18,11,0.3655555555555556,60.0
CUST-003675,Bronze,103.0,18,11,0.3655555555555556,55.1
CUST-005450,Bronze,225.91,18,11,0.3655555555555556,81.2
CUST-003166,Bronze,261.67,18,11,0.3655555555555556,62.8
CUST-004876,Bronze,338.39,18,11,0.3655555555555556,62.8
CUST-007833,Bronze,149.86,18,11,0.3655555555555556,57.1
CUST-000896,Bronze,219.55,18,11,0.3655555555555556,61.7
CUST-006789,Bronze,117.14,18,11,0.3655555555555556,57.7
CUST-003930,Bronze,182.09,18,11,0.3655555555555556,57.7
CUST-004132,Bronze,87.27,18,11,0.3655555555555556,56.7
CUST-006603,Bronze,115.92,18,11,0.3655555555555556,55.8
CUST-000543,Bronze,206.84,18,11,0.3655555555555556,59.5
CUST-000061,Bronze,264.68,18,11,0.3655555555555556,62.7
CUST-007957,Bronze,121.92,18,11,0.3655555555555556,73.2
CUST-000024,Bronze,274.63,15,9,0.364,63.1
CUST-007879,Bronze,67.89,15,9,0.364,53.8
CUST-003649,Bronze,130.61,10,6,0.364,54.0
CUST-002542,Bronze,146.38,10,6,0.364,54.9
CUST-007865,Bronze,102.1,10,6,0.364,55.8
CUST-007797,Bronze,285.13,15,9,0.364,62.3
CUST-004079,Bronze,147.69,15,9,0.364,57.6
CUST-006109,Bronze,200.42,10,6,0.364,56.8
CUST-001233,Bronze,115.86,20,12,0.364,57.0
CUST-006566,Bronze,124.4,15,9,0.364,56.3
CUST-006724,Bronze,110.45,20,12,0.364,76.8
CUST-006754,Bronze,183.96,10,6,0.364,56.5
CUST-003176,Bronze,71.76,10,6,0.364,46.2
CUST-007413,Bronze,255.59,15,9,0.364,62.5
CUST-006781,Bronze,154.62,20,12,0.364,57.8
CUST-005586,Bronze,318.15,15,9,0.364,62.0
CUST-004419,Bronze,233.26,15,9,0.364,80.1
CUST-004420,Bronze,102.9,20,12,0.364,56.1
CUST-003292,Bronze,110.82,10,6,0.364,53.2
CUST-005275,Bronze,278.53,10,6,0.364,59.9
CUST-006022,Bronze,120.23,15,9,0.364,53.9
CUST-007101,Bronze,95.02,15,9,0.364,55.8
CUST-004047,Bronze,196.78,15,9,0.364,59.0
CUST-005729,Bronze,250.88,10,6,0.364,60.5
CUST-005591,Bronze,84.78,10,6,0.364,55.1
CUST-006315,Bronze,97.65,15,9,0.364,56.9
CUST-000351,Bronze,198.1,10,6,0.364,58.7
CUST-006839,Bronze,100.15,10,6,0.364,55.6
CUST-004466,Bronze,271.56,10,6,0.364,61.4
CUST-004461,Bronze,150.88,20,12,0.364,58.8
CUST-001694,Bronze,410.49,15,9,0.364,63.0
CUST-001670,Bronze,143.14,20,12,0.364,59.3
CUST-007061,Bronze,248.41,10,6,0.364,60.5
CUST-000250,Bronze,239.21,10,6,0.364,59.9
CUST-004821,Bronze,136.25,15,9,0.364,59.0
CUST-006804,Bronze,177.75,15,9,0.364,56.6
CUST-006811,Bronze,130.49,20,12,0.364,58.8
CUST-001271,Bronze,242.22,20,12,0.364,60.5
CUST-003566,Bronze,84.51,20,12,0.364,56.8
CUST-005629,Bronze,162.67,10,6,0.364,56.1
CUST-001218,Bronze,211.08,10,6,0.364,59.0
CUST-005024,Bronze,83.91,15,9,0.364,55.4
CUST-003398,Bronze,124.9,25,15,0.364,58.5
CUST-007311,Bronze,200.5,10,6,0.364,58.8
CUST-007655,Bronze,134.2,15,9,0.364,54.4
CUST-006244,Bronze,145.88,15,9,0.364,59.4
CUST-002332,Bronze,130.57,10,6,0.364,57.5
CUST-002645,Bronze,197.68,10,6,0.364,58.8
CUST-001059,Bronze,140.74,15,9,0.364,56.3
CUST-005268,Bronze,285.41,10,6,0.364,61.4
CUST-000595,Bronze,155.57,15,9,0.364,55.0
CUST-007209,Bronze,260.12,15,9,0.364,60.8
CUST-005517,Bronze,208.15,10,6,0.364,55.4
CUST-007515,Bronze,185.32,10,6,0.364,56.7
CUST-003469,Bronze,203.88,15,9,0.364,60.0
CUST-003670,Bronze,111.45,15,9,0.364,53.7
CUST-004791,Bronze,71.24,15,9,0.364,55.2
CUST-003431,Bronze,227.72,10,6,0.364,57.9
CUST-004785,Bronze,162.17,15,9,0.364,58.1
CUST-003383,Bronze,202.23,10,6,0.364,59.9
CUST-000903,Bronze,100.52,15,9,0.364,52.7
CUST-005205,Bronze,161.9,15,9,0.364,58.9
CUST-007326,Bronze,152.12,15,9,0.364,59.8
CUST-003244,Bronze,175.11,15,9,0.364,58.1
CUST-005377,Bronze,122.85,15,9,0.364,57.7
CUST-005807,Bronze,106.49,10,6,0.364,53.1
CUST-005207,Bronze,316.17,15,9,0.364,61.7
CUST-002228,Bronze,115.08,15,9,0.364,57.4
CUST-001711,Bronze,144.04,20,12,0.364,59.2
CUST-005888,Bronze,211.68,10,6,0.364,60.6
CUST-002892,Bronze,257.9,15,9,0.364,60.4
CUST-005227,Bronze,118.43,10,6,0.364,54.8
CUST-006177,Bronze,143.48,15,9,0.364,59.3
CUST-003901,Bronze,125.85,15,9,0.364,58.4
CUST-000366,Bronze,215.42,22,13,0.36272727272727273,60.5
CUST-004241,Bronze,106.94,22,13,0.36272727272727273,55.6
CUST-001593,Bronze,95.52,22,13,0.36272727272727273,57.1
CUST-006689,Bronze,171.89,22,13,0.36272727272727273,59.7
CUST-001300,Bronze,184.52,22,13,0.36272727272727273,61.0
CUST-000486,Bronze,116.37,17,10,0.3623529411764706,57.8
CUST-007073,Bronze,260.79,17,10,0.3623529411764706,60.6
CUST-005955,Bronze,170.67,17,10,0.3623529411764706,60.5
CUST-000123,Bronze,202.05,17,10,0.3623529411764706,59.0
CUST-004034,Bronze,124.47,17,10,0.3623529411764706,56.1
CUST-001303,Bronze,74.16,17,10,0.3623529411764706,54.5
CUST-006413,Bronze,104.27,17,10,0.3623529411764706,56.5
CUST-005617,Bronze,146.93,17,10,0.3623529411764706,57.9
CUST-001295,Bronze,114.18,17,10,0.3623529411764706,57.7
CUST-002828,Bronze,116.22,17,10,0.3623529411764706,75.8
CUST-004489,Bronze,184.26,17,10,0.3623529411764706,56.7
CUST-004103,Bronze,73.8,17,10,0.3623529411764706,56.0
CUST-001620,Bronze,120.31,17,10,0.3623529411764706,56.1
CUST-007671,Bronze,148.84,17,10,0.3623529411764706,56.7
CUST-004409,Bronze,284.57,17,10,0.3623529411764706,60.4
CUST-004233,Bronze,193.3,17,10,0.3623529411764706,57.0
CUST-003637,Bronze,167.55,17,10,0.3623529411764706,59.3
CUST-000843,Bronze,306.79,17,10,0.3623529411764706,63.5
CUST-005521,Bronze,299.05,17,10,0.3623529411764706,63.5
CUST-005410,Bronze,213.71,17,10,0.3623529411764706,61.4
CUST-005160,Bronze,158.55,17,10,0.3623529411764706,57.2
CUST-006941,Bronze,243.56,17,10,0.3623529411764706,60.6
CUST-002715,Bronze,343.35,17,10,0.3623529411764706,62.0
CUST-004074,Bronze,129.3,17,10,0.3623529411764706,58.7
CUST-004819,Bronze,124.51,17,10,0.3623529411764706,56.5
CUST-005233,Bronze,203.29,17,10,0.3623529411764706,59.6
CUST-001726,Bronze,104.79,17,10,0.3623529411764706,55.4
CUST-002483,Bronze,278.66,12,7,0.36166666666666664,60.6
CUST-006100,Bronze,96.94,12,7,0.36166666666666664,52.5
CUST-006498,Bronze,183.39,24,14,0.36166666666666664,59.0
CUST-003506,Bronze,202.68,12,7,0.36166666666666664,60.3
CUST-000432,Bronze,163.08,12,7,0.36166666666666664,56.8
CUST-005054,Bronze,161.97,12,7,0.36166666666666664,59.6
CUST-007513,Bronze,213.01,12,7,0.36166666666666664,60.6
CUST-002747,Bronze,217.48,12,7,0.36166666666666664,59.4
CUST-006082,Bronze,141.31,12,7,0.36166666666666664,56.7
CUST-006083,Bronze,219.86,12,7,0.36166666666666664,56.8
CUST-003669,Bronze,316.03,12,7,0.36166666666666664,59.1
CUST-000230,Bronze,167.57,12,7,0.36166666666666664,55.7
CUST-000616,Bronze,116.22,12,7,0.36166666666666664,53.2
CUST-004728,Bronze,226.16,12,7,0.36166666666666664,59.6
CUST-000610,Bronze,204.23,12,7,0.36166666666666664,61.3
CUST-007535,Bronze,104.06,12,7,0.36166666666666664,54.9
CUST-000165,Bronze,66.68,12,7,0.36166666666666664,55.5
CUST-000245,Bronze,133.63,12,7,0.36166666666666664,56.3
CUST-001170,Bronze,162.45,12,7,0.36166666666666664,75.1
CUST-000851,Bronze,128.07,24,14,0.36166666666666664,57.7
CUST-007247,Bronze,131.94,12,7,0.36166666666666664,54.6
CUST-003062,Bronze,146.13,12,7,0.36166666666666664,56.9
CUST-000575,Bronze,174.57,12,7,0.36166666666666664,57.2
CUST-007690,Bronze,160.63,12,7,0.36166666666666664,57.5
CUST-002850,Bronze,150.73,24,14,0.36166666666666664,59.8
CUST-004236,Bronze,117.64,12,7,0.36166666666666664,56.8
CUST-003869,Bronze,158.47,12,7,0.36166666666666664,54.4
