product_id,category,quality_risk,feedback_volume,negative_rate,avg_priority_score
PROD-0082,Apparel,normal,751,0.4340878828229028,41.32596537949401
PROD-0044,Beauty,elevated,772,0.4339378238341969,41.18743523316062
PROD-0027,Apparel,normal,893,0.4333706606942889,41.25128779395297
PROD-0107,Beauty,normal,817,0.43329253365973075,41.245532435740515
PROD-0090,Beauty,elevated,794,0.4332493702770781,41.520906801007555
PROD-0120,Sports & Outdoors,normal,802,0.43266832917705733,41.61122194513715
PROD-0045,Apparel,normal,802,0.43266832917705733,41.14862842892768
PROD-0063,Beauty,normal,740,0.43243243243243246,41.100945945945945
PROD-0013,Beauty,normal,780,0.43205128205128207,41.71653846153846
PROD-0098,Office Supplies,normal,797,0.4316185696361355,41.456085319949814
PROD-0023,Electronics,normal,832,0.43149038461538464,41.49230769230769
PROD-0068,Beauty,normal,819,0.43101343101343104,41.09059829059829
PROD-0060,Beauty,normal,833,0.4309723889555822,41.137575030012
PROD-0031,Home & Kitchen,normal,738,0.43089430894308944,41.63373983739837
PROD-0002,Pet Supplies,normal,810,0.4308641975308642,41.507407407407406
PROD-0066,Toys & Games,normal,736,0.43070652173913043,41.82975543478261
PROD-0123,Office Supplies,normal,832,0.43028846153846156,41.47908653846154
PROD-0016,Electronics,normal,837,0.43010752688172044,41.108602150537635
PROD-0028,Electronics,normal,798,0.4298245614035088,40.78245614035088
PROD-0129,Electronics,normal,739,0.428958051420839,41.37185385656292
PROD-0086,Pet Supplies,normal,788,0.4289340101522843,41.14467005076142
PROD-0105,Pet Supplies,normal,795,0.4289308176100629,41.72201257861635
PROD-0128,Beauty,normal,780,0.4282051282051282,41.67602564102564
PROD-0057,Home & Kitchen,normal,814,0.4275184275184275,41.43304668304668
PROD-0017,Sports & Outdoors,normal,798,0.4273182957393484,41.215664160401
PROD-0003,Electronics,normal,850,0.42705882352941177,41.34023529411764
PROD-0114,Sports & Outdoors,normal,793,0.4262295081967213,40.96733921815889
PROD-0018,Pet Supplies,normal,793,0.4262295081967213,41.073139974779316
PROD-0069,Apparel,normal,784,0.4260204081632653,41.22869897959183
PROD-0083,Toys & Games,normal,829,0.42581423401688784,41.28130277442702
PROD-0101,Apparel,normal,839,0.42550655542312277,41.04386174016687
PROD-0109,Pet Supplies,normal,818,0.4254278728606357,41.22249388753056
PROD-0061,Pet Supplies,elevated,783,0.42528735632183906,41.2272030651341
PROD-0141,Office Supplies,normal,819,0.4249084249084249,41.31477411477412
PROD-0084,Beauty,normal,838,0.42482100238663484,41.078281622911696
PROD-0065,Home & Kitchen,normal,791,0.4247787610619469,40.97218710493047
PROD-0117,Pet Supplies,elevated,815,0.4245398773006135,41.34920245398773
PROD-0026,Sports & Outdoors,normal,839,0.42431466030989273,41.48724672228844
PROD-0019,Apparel,normal,832,0.42427884615384615,41.44795673076923
PROD-0055,Office Supplies,normal,865,0.42427745664739885,41.407514450867055
PROD-0099,Toys & Games,elevated,759,0.42424242424242425,41.22450592885376
PROD-0025,Home & Kitchen,normal,792,0.42424242424242425,41.4300505050505
PROD-0076,Pet Supplies,normal,774,0.42377260981912146,41.06912144702842
PROD-0051,Office Supplies,elevated,791,0.42351453855878635,41.50695322376738
PROD-0047,Beauty,normal,803,0.42341220423412207,41.15940224159402
PROD-0074,Beauty,elevated,837,0.4229390681003584,41.236798088410985
PROD-0116,Office Supplies,normal,811,0.42293464858199753,41.24648581997534
PROD-0097,Home & Kitchen,normal,842,0.42280285035629456,41.038954869358676
PROD-0142,Office Supplies,normal,809,0.4227441285537701,41.29369592088999
PROD-0041,Office Supplies,normal,821,0.4226552984165652,41.278440925700366
PROD-0133,Electronics,normal,808,0.422029702970297,41.1960396039604
PROD-0127,Home & Kitchen,normal,782,0.4219948849104859,41.057289002557546
PROD-0034,Toys & Games,normal,773,0.4217335058214748,41.10905562742561
PROD-0042,Electronics,normal,822,0.4209245742092457,41.29841849148419
PROD-0145,Beauty,normal,758,0.420844327176781,41.2080474934037
PROD-0094,Office Supplies,normal,741,0.41970310391363025,41.26747638326586
PROD-0092,Office Supplies,normal,799,0.4192740926157697,41.06658322903629
PROD-0050,Sports & Outdoors,normal,811,0.4192355117139334,41.148458692971644
PROD-0046,Pet Supplies,normal,770,0.41818181818181815,40.72766233766234
PROD-0126,Sports & Outdoors,normal,825,0.41818181818181815,41.28884848484849
PROD-0104,Toys & Games,normal,768,0.41796875,41.003515625
PROD-0075,Apparel,elevated,778,0.41773778920308485,41.19177377892031
PROD-0035,Home & Kitchen,elevated,815,0.4171779141104294,41.124662576687115
PROD-0014,Toys & Games,high,806,0.41687344913151364,41.07233250620348
PROD-0080,Apparel,elevated,732,0.4166666666666667,40.90013661202186
PROD-0024,Home & Kitchen,normal,833,0.41656662665066024,40.824969987995196
PROD-0073,Office Supplies,normal,819,0.4163614163614164,41.51428571428571
PROD-0032,Sports & Outdoors,normal,853,0.41617819460726846,40.83774912075029
PROD-0143,Beauty,normal,784,0.41581632653061223,41.60918367346939
PROD-0113,Toys & Games,normal,837,0.4157706093189964,41.25961768219833
PROD-0106,Office Supplies,normal,799,0.41551939924906134,40.98936170212766
PROD-0038,Apparel,normal,799,0.41551939924906134,41.20801001251564
PROD-0103,Pet Supplies,normal,791,0.41466498103666244,40.6763590391909
PROD-0138,Pet Supplies,normal,782,0.4143222506393862,41.00869565217391
PROD-0010,Apparel,normal,763,0.41415465268676277,40.80733944954128
PROD-0077,Electronics,normal,750,0.41333333333333333,40.64426666666667
PROD-0102,Electronics,elevated,767,0.4132985658409387,40.82685788787484
PROD-0147,Toys & Games,normal,818,0.4132029339853301,41.09951100244499
PROD-0062,Pet Supplies,normal,802,0.4114713216957606,41.42605985037406
PROD-0148,Home & Kitchen,normal,817,0.41003671970624234,41.1891064871481
PROD-0125,Toys & Games,normal,800,0.41,40.786625
PROD-0093,Home & Kitchen,normal,800,0.41,41.3175
PROD-0132,Sports & Outdoors,elevated,784,0.4094387755102041,40.72359693877551
PROD-0115,Home & Kitchen,normal,778,0.4074550128534704,41.1413881748072
PROD-0085,Office Supplies,normal,798,0.40601503759398494,40.646491228070175
PROD-0091,Pet Supplies,elevated,766,0.40600522193211486,40.56657963446475
PROD-0043,Office Supplies,normal,823,0.40583232077764275,40.868286755771564
PROD-0119,Sports & Outdoors,elevated,806,0.4057071960297767,40.54205955334988
PROD-0079,Pet Supplies,elevated,792,0.4053030303030303,40.544570707070704
PROD-0040,Beauty,normal,775,0.40516129032258064,40.49290322580645
PROD-0001,Sports & Outdoors,normal,813,0.4046740467404674,40.45461254612546
PROD-0049,Apparel,elevated,811,0.40443896424167697,40.43489519112207
PROD-0056,Beauty,elevated,785,0.40382165605095544,40.32203821656051
PROD-0149,Office Supplies,normal,828,0.4033816425120773,40.68007246376811
PROD-0052,Beauty,normal,789,0.40304182509505704,40.74309252217997
PROD-0095,Pet Supplies,normal,789,0.40304182509505704,40.67198986058302
PROD-0081,Pet Supplies,elevated,804,0.4017412935323383,40.75609452736319
PROD-0137,Office Supplies,normal,821,0.4007308160779537,40.71412911084044
PROD-0007,Office Supplies,normal,856,0.39953271028037385,40.95969626168224
PROD-0110,Apparel,elevated,793,0.39722572509457754,41.03568726355611
PROD-0054,Apparel,normal,779,0.39666238767650835,40.73337612323492
PROD-0096,Sports & Outdoors,normal,809,0.39555006180469715,40.72521631644005
