customer_id,signup_date,region,tier,lifetime_value,base_churn_prob
CUST-000036,2026-01-17,Asia Pacific,Platinum,3634.02,0.05
CUST-000037,2026-05-06,North America,Silver,368.53,0.18
CUST-000038,2025-07-14,North America,Silver,292.19,0.18
CUST-000039,2025-04-19,North America,Platinum,2192.58,0.05
CUST-000040,2024-02-28,Asia Pacific,Bronze,86.67,0.28
CUST-000041,2025-05-25,Asia Pacific,Bronze,200.95,0.28
CUST-000042,2025-11-12,North America,Bronze,127.31,0.28
CUST-000043,2025-04-20,Asia Pacific,Silver,336.92,0.18
CUST-000044,2025-11-30,Latin America,Gold,533.37,0.1
CUST-000045,2026-02-21,North America,Bronze,104.1,0.28
CUST-000046,2024-07-08,North America,Silver,401.18,0.18
CUST-000047,2025-11-17,Asia Pacific,Silver,243.39,0.18
CUST-000048,2025-07-16,North America,Bronze,434.69,0.28
CUST-000049,2026-05-25,Europe,Bronze,87.75,0.28
CUST-000050,2025-07-20,North America,Bronze,237.86,0.28
CUST-000051,2024-08-31,Europe,Bronze,142.94,0.28
CUST-000052,2026-04-11,Asia Pacific,Gold,956.7,0.1
CUST-000053,2025-05-19,Asia Pacific,Gold,1086.05,0.1
CUST-000054,2024-05-10,Asia Pacific,Gold,1206.77,0.1
CUST-000055,2025-04-29,Latin America,Silver,492.68,0.18
CUST-000056,2026-03-29,Asia Pacific,Gold,810.22,0.1
CUST-000057,2025-10-08,Asia Pacific,Silver,562.83,0.18
CUST-000058,2024-01-21,North America,Silver,402.43,0.18
CUST-000059,2026-04-20,Europe,Silver,264.21,0.18
CUST-000060,2024-06-15,North America,Silver,379.22,0.18
CUST-000061,2024-09-30,Asia Pacific,Bronze,264.68,0.28
CUST-000062,2025-01-22,North America,Silver,491.28,0.18
CUST-000063,2025-08-23,Europe,Bronze,150.27,0.28
CUST-000064,2024-11-11,North America,Silver,383.82,0.18
CUST-000065,2024-01-14,Asia Pacific,Bronze,132.03,0.28
CUST-000066,2024-08-29,Latin America,Bronze,163.81,0.28
CUST-000067,2026-02-15,Europe,Platinum,3147.38,0.05
CUST-000068,2024-12-11,Latin America,Bronze,179.88,0.28
CUST-000069,2025-07-18,North America,Bronze,170.71,0.28
CUST-000070,2024-12-05,Europe,Bronze,93.08,0.28
CUST-000071,2024-04-01,Latin America,Gold,1482.12,0.1
CUST-000072,2025-01-01,North America,Silver,307.17,0.18
CUST-000073,2025-03-30,Middle East & Africa,Silver,302.16,0.18
CUST-000074,2025-03-03,North America,Gold,1187.93,0.1
CUST-000075,2025-05-23,North America,Bronze,166.32,0.28
CUST-000076,2026-02-14,Latin America,Bronze,191.83,0.28
CUST-000077,2024-02-04,North America,Bronze,63.31,0.28
CUST-000078,2024-07-24,Middle East & Africa,Silver,617.05,0.18
CUST-000079,2024-03-21,Middle East & Africa,Silver,530.76,0.18
CUST-000080,2025-07-15,North America,Bronze,112.19,0.28
CUST-000081,2026-05-21,Europe,Bronze,136.47,0.28
CUST-000082,2025-01-22,North America,Bronze,162.37,0.28
CUST-000083,2024-01-02,Europe,Silver,111.42,0.18
CUST-000084,2025-01-24,North America,Bronze,90.94,0.28
CUST-000085,2025-07-19,North America,Bronze,238.69,0.28
CUST-000086,2024-04-15,Europe,Bronze,117.88,0.28
CUST-000087,2026-02-10,Europe,Silver,434.8,0.18
CUST-000088,2026-04-01,Middle East & Africa,Silver,429.49,0.18
CUST-000089,2025-04-21,Asia Pacific,Bronze,199.64,0.28
CUST-000090,2025-12-03,Asia Pacific,Silver,382.45,0.18
CUST-000091,2025-02-05,Europe,Silver,395.59,0.18
CUST-000092,2025-12-30,Asia Pacific,Platinum,3777.24,0.05
CUST-000093,2025-07-09,North America,Bronze,210.46,0.28
CUST-000094,2024-06-10,Asia Pacific,Silver,716.57,0.18
CUST-000095,2024-07-20,Middle East & Africa,Silver,396.1,0.18
CUST-000096,2024-09-26,North America,Bronze,123.26,0.28
CUST-000097,2026-05-12,Asia Pacific,Silver,424.43,0.18
CUST-000098,2026-03-26,Asia Pacific,Bronze,255.87,0.28
CUST-000099,2024-09-27,Latin America,Bronze,204.78,0.28
CUST-000100,2025-03-31,Asia Pacific,Bronze,123.81,0.28
CUST-000101,2025-04-06,North America,Bronze,78.65,0.28
CUST-000102,2025-12-27,North America,Bronze,233.56,0.28
CUST-000103,2024-09-08,North America,Silver,732.85,0.18
CUST-000104,2025-12-02,Asia Pacific,Silver,288.55,0.18
CUST-000105,2024-10-22,North America,Gold,1004.25,0.1
CUST-000106,2025-12-25,Latin America,Bronze,212.99,0.28
CUST-000107,2025-12-20,North America,Silver,525.09,0.18
CUST-000108,2026-01-18,North America,Gold,540.42,0.1
CUST-000109,2024-12-03,Europe,Bronze,95.53,0.28
CUST-000110,2026-05-28,Asia Pacific,Silver,567.87,0.18
CUST-000111,2024-02-22,North America,Gold,1325.79,0.1
CUST-000112,2026-03-02,Europe,Silver,587.37,0.18
CUST-000113,2024-08-04,Europe,Bronze,204.97,0.28
CUST-000114,2026-02-02,North America,Bronze,165.23,0.28
CUST-000115,2024-07-06,North America,Silver,532.4,0.18
CUST-000116,2025-01-14,Asia Pacific,Platinum,2786.9,0.05
CUST-000117,2025-05-07,Europe,Bronze,157.01,0.28
CUST-000118,2024-02-10,North America,Platinum,3967.55,0.05
CUST-000119,2024-06-05,Asia Pacific,Bronze,296.79,0.28
CUST-000120,2024-01-15,Middle East & Africa,Bronze,107.86,0.28
CUST-000121,2026-03-23,Europe,Bronze,200.37,0.28
CUST-000122,2024-03-05,Europe,Silver,429.67,0.18
CUST-000123,2026-05-06,Latin America,Bronze,202.05,0.28
CUST-000124,2026-04-18,Middle East & Africa,Bronze,142.95,0.28
CUST-000125,2025-06-04,Asia Pacific,Gold,1921.84,0.1
CUST-000126,2024-12-09,Europe,Platinum,2600.61,0.05
CUST-000127,2024-05-08,Europe,Bronze,158.78,0.28
CUST-000128,2025-10-09,Asia Pacific,Bronze,178.82,0.28
CUST-000129,2025-04-16,North America,Gold,913.74,0.1
CUST-000130,2024-03-03,Europe,Silver,508.32,0.18
CUST-000131,2024-05-18,Asia Pacific,Bronze,224.39,0.28
CUST-000132,2025-05-13,Asia Pacific,Platinum,3407.28,0.05
CUST-000133,2025-08-15,Europe,Bronze,202.52,0.28
CUST-000134,2025-01-26,Asia Pacific,Silver,343.62,0.18
CUST-000135,2025-11-05,North America,Bronze,96.74,0.28
CUST-000136,2025-02-22,Europe,Silver,594.33,0.18
CUST-000137,2024-10-15,Asia Pacific,Bronze,119.94,0.28
CUST-000138,2025-01-13,North America,Silver,230.11,0.18
CUST-000139,2026-02-11,North America,Platinum,2582.26,0.05
CUST-000140,2025-05-04,Middle East & Africa,Silver,771.46,0.18
CUST-000141,2024-08-18,North America,Silver,687.7,0.18
CUST-000142,2024-02-10,North America,Bronze,95.82,0.28
CUST-000143,2024-01-28,Middle East & Africa,Gold,668.75,0.1
CUST-000144,2024-05-14,Asia Pacific,Platinum,2971.51,0.05
CUST-000145,2024-07-19,Asia Pacific,Gold,1819.4,0.1
CUST-000146,2026-04-19,Latin America,Silver,416.11,0.18
CUST-000147,2026-02-18,North America,Platinum,3247.22,0.05
CUST-000148,2024-02-02,Asia Pacific,Bronze,117.33,0.28
CUST-000149,2024-02-17,Europe,Silver,403.69,0.18
CUST-000150,2025-05-17,Asia Pacific,Silver,631.57,0.18
CUST-000151,2025-02-10,Europe,Silver,465.61,0.18
CUST-000152,2025-07-27,Europe,Gold,1106.91,0.1
CUST-000153,2025-12-28,Europe,Silver,583.78,0.18
CUST-000154,2026-03-15,Europe,Bronze,154.36,0.28
CUST-000155,2024-04-08,Asia Pacific,Bronze,219.36,0.28
CUST-000156,2025-11-14,Europe,Bronze,114.28,0.28
CUST-000157,2026-05-21,Europe,Silver,501.74,0.18
CUST-000158,2025-12-26,Europe,Bronze,213.93,0.28
CUST-000159,2025-06-30,Europe,Bronze,279.22,0.28
CUST-000160,2026-01-08,Asia Pacific,Silver,290.55,0.18
CUST-000161,2025-09-04,Asia Pacific,Gold,1119.44,0.1
CUST-000162,2025-04-06,Asia Pacific,Platinum,2067.61,0.05
CUST-000163,2025-10-04,Latin America,Platinum,2374.63,0.05
CUST-000164,2026-02-07,Asia Pacific,Gold,1208.92,0.1
CUST-000165,2024-01-05,Europe,Bronze,66.68,0.28
CUST-000166,2024-08-05,Asia Pacific,Gold,1419.15,0.1
CUST-000167,2025-05-17,Latin America,Bronze,187.45,0.28
CUST-000168,2026-02-05,Europe,Silver,436.45,0.18
CUST-000169,2025-02-01,Asia Pacific,Silver,321.53,0.18
CUST-000170,2026-05-20,Asia Pacific,Gold,1088.45,0.1
CUST-000171,2026-03-05,Europe,Bronze,349.77,0.28
CUST-000172,2025-01-27,North America,Bronze,121.81,0.28
CUST-000173,2024-07-25,Europe,Silver,328.36,0.18
CUST-000174,2024-01-15,Middle East & Africa,Bronze,59.49,0.28
CUST-000175,2026-05-07,Asia Pacific,Platinum,5313.85,0.05
CUST-000176,2025-07-07,Europe,Silver,274.01,0.18
CUST-000177,2025-04-05,Latin America,Silver,466.16,0.18
CUST-000178,2025-11-21,Europe,Gold,2787.08,0.1
CUST-000179,2025-07-28,Europe,Silver,521.64,0.18
CUST-000180,2026-05-13,Asia Pacific,Bronze,173.11,0.28
CUST-000181,2026-01-12,Asia Pacific,Bronze,131.67,0.28
CUST-000182,2024-08-28,North America,Silver,510.18,0.18
CUST-000183,2025-07-17,Europe,Gold,1236.88,0.1
CUST-000184,2024-04-05,Europe,Gold,1489.52,0.1
CUST-000185,2026-01-03,Europe,Platinum,1331.31,0.05
CUST-000186,2025-04-29,Europe,Bronze,174.59,0.28
CUST-000187,2025-02-10,Europe,Bronze,178.4,0.28
CUST-000188,2024-08-18,North America,Bronze,415.54,0.28
CUST-000189,2026-01-18,Europe,Gold,1197.95,0.1
CUST-000190,2025-10-16,North America,Bronze,163.91,0.28
CUST-000191,2024-06-19,Europe,Bronze,175.77,0.28
CUST-000192,2025-06-24,Latin America,Silver,533.28,0.18
CUST-000193,2024-02-05,Asia Pacific,Bronze,91.58,0.28
CUST-000194,2025-06-08,Europe,Silver,624.28,0.18
CUST-000195,2024-06-08,North America,Silver,311.78,0.18
CUST-000196,2026-04-18,North America,Bronze,176.5,0.28
CUST-000197,2025-11-29,Europe,Bronze,106.38,0.28
CUST-000198,2024-08-30,North America,Gold,1097.84,0.1
CUST-000199,2024-03-26,Europe,Bronze,124.27,0.28
CUST-000200,2026-03-06,North America,Bronze,135.78,0.28
CUST-000201,2025-07-31,Asia Pacific,Bronze,145.1,0.28
CUST-000202,2025-11-12,Europe,Bronze,174.09,0.28
CUST-000203,2025-07-10,North America,Gold,1154.71,0.1
CUST-000204,2025-07-27,Asia Pacific,Bronze,212.82,0.28
CUST-000205,2025-10-07,North America,Gold,969.37,0.1
CUST-000206,2026-03-06,North America,Bronze,178.13,0.28
CUST-000207,2024-01-28,Europe,Gold,860.13,0.1
CUST-000208,2025-09-11,Europe,Gold,2448.24,0.1
CUST-000209,2025-07-09,Asia Pacific,Silver,535.3,0.18
CUST-000210,2024-12-05,North America,Silver,340.49,0.18
CUST-000211,2026-03-08,Europe,Bronze,300.2,0.28
CUST-000212,2024-11-26,North America,Silver,553.71,0.18
CUST-000213,2025-10-01,North America,Bronze,113.66,0.28
CUST-000214,2025-05-20,Latin America,Bronze,142.33,0.28
CUST-000215,2024-12-13,Asia Pacific,Gold,761.19,0.1
CUST-000216,2025-04-17,North America,Bronze,95.14,0.28
CUST-000217,2024-08-18,Europe,Gold,1945.83,0.1
CUST-000218,2024-07-08,North America,Bronze,104.72,0.28
CUST-000219,2024-08-12,Latin America,Silver,263.54,0.18
CUST-000220,2025-01-19,North America,Platinum,4513.44,0.05
CUST-000221,2025-01-11,North America,Silver,874.05,0.18
CUST-000222,2024-10-09,Europe,Silver,714.91,0.18
CUST-000223,2025-09-24,Europe,Silver,1125.18,0.18
CUST-000224,2025-09-19,Europe,Gold,3161.22,0.1
CUST-000225,2026-01-14,North America,Bronze,104.64,0.28
CUST-000226,2024-09-15,North America,Silver,397.3,0.18
CUST-000227,2024-12-24,Europe,Bronze,80.03,0.28
CUST-000228,2025-12-10,North America,Bronze,94.21,0.28
CUST-000229,2025-03-31,Latin America,Bronze,230.35,0.28
CUST-000230,2025-02-14,North America,Bronze,167.57,0.28
CUST-000231,2025-10-10,Europe,Silver,805.8,0.18
CUST-000232,2024-11-13,Asia Pacific,Gold,848.87,0.1
CUST-000233,2025-11-07,North America,Gold,963.53,0.1
CUST-000234,2024-08-12,Europe,Silver,570.59,0.18
CUST-000235,2026-03-29,Asia Pacific,Bronze,228.9,0.28
CUST-000236,2024-08-21,North America,Bronze,78.0,0.28
CUST-000237,2025-11-14,Latin America,Bronze,136.24,0.28
CUST-000238,2025-10-25,Europe,Silver,527.94,0.18
CUST-000239,2026-04-06,North America,Bronze,205.17,0.28
CUST-000240,2025-01-08,Europe,Silver,666.16,0.18
CUST-000241,2025-11-02,North America,Gold,1164.74,0.1
CUST-000242,2025-08-30,Asia Pacific,Silver,274.53,0.18
CUST-000243,2025-04-16,Asia Pacific,Gold,555.51,0.1
CUST-000244,2024-08-20,Asia Pacific,Silver,418.36,0.18
CUST-000245,2025-11-22,Middle East & Africa,Bronze,133.63,0.28
CUST-000246,2024-04-22,Asia Pacific,Bronze,109.1,0.28
CUST-000247,2026-04-09,Europe,Gold,1715.25,0.1
CUST-000248,2025-05-11,North America,Silver,284.35,0.18
CUST-000249,2025-03-17,Europe,Silver,345.31,0.18
CUST-000250,2025-07-17,North America,Bronze,239.21,0.28
CUST-000251,2024-09-24,Asia Pacific,Silver,330.06,0.18
CUST-000252,2025-05-24,Europe,Bronze,170.7,0.28
CUST-000253,2026-03-17,North America,Bronze,149.43,0.28
CUST-000254,2025-01-20,North America,Bronze,165.33,0.28
CUST-000255,2025-01-21,Europe,Bronze,213.42,0.28
CUST-000256,2024-04-22,Europe,Bronze,170.84,0.28
CUST-000257,2025-09-04,Europe,Bronze,86.14,0.28
CUST-000258,2025-09-16,Europe,Silver,276.52,0.18
CUST-000259,2024-03-21,Europe,Silver,506.32,0.18
CUST-000260,2025-11-29,Asia Pacific,Silver,311.52,0.18
CUST-000261,2024-04-22,North America,Silver,659.42,0.18
CUST-000262,2024-01-02,North America,Platinum,3960.7,0.05
CUST-000263,2025-10-03,Europe,Bronze,75.51,0.28
CUST-000264,2024-08-07,Europe,Bronze,319.34,0.28
CUST-000265,2025-07-19,North America,Silver,388.68,0.18
CUST-000266,2026-05-04,Europe,Bronze,137.95,0.28
CUST-000267,2026-01-05,North America,Silver,532.86,0.18
CUST-000268,2024-08-12,Europe,Silver,434.67,0.18
CUST-000269,2025-01-19,Europe,Platinum,5141.88,0.05
CUST-000270,2025-02-06,Europe,Gold,798.61,0.1
CUST-000271,2025-09-29,Asia Pacific,Platinum,5537.76,0.05
CUST-000272,2024-05-09,North America,Bronze,196.97,0.28
CUST-000273,2024-02-22,Middle East & Africa,Gold,880.35,0.1
CUST-000274,2025-11-14,Europe,Bronze,165.89,0.28
CUST-000275,2025-12-30,Europe,Silver,730.79,0.18
CUST-000276,2025-11-02,Asia Pacific,Silver,554.39,0.18
CUST-000277,2025-12-10,Asia Pacific,Bronze,159.11,0.28
CUST-000278,2025-02-19,Europe,Silver,577.22,0.18
CUST-000279,2024-09-03,Europe,Bronze,199.0,0.28
CUST-000280,2026-04-15,North America,Bronze,122.53,0.28
CUST-000281,2025-03-14,North America,Gold,1277.65,0.1
CUST-000282,2024-07-21,Europe,Bronze,210.63,0.28
CUST-000283,2024-07-02,North America,Bronze,158.19,0.28
CUST-000284,2024-05-02,Europe,Bronze,112.58,0.28
CUST-000285,2025-02-04,North America,Gold,1342.28,0.1
CUST-000286,2026-02-05,Asia Pacific,Bronze,128.31,0.28
CUST-000287,2024-10-20,Latin America,Bronze,189.34,0.28
CUST-000288,2024-10-06,Latin America,Gold,2123.53,0.1
CUST-000289,2026-04-16,Europe,Bronze,196.66,0.28
CUST-000290,2025-09-01,Asia Pacific,Bronze,107.9,0.28
CUST-000291,2024-07-16,Latin America,Gold,1353.91,0.1
CUST-000292,2025-05-25,Europe,Silver,160.35,0.18
CUST-000293,2026-01-21,North America,Gold,1153.11,0.1
CUST-000294,2024-05-23,Latin America,Bronze,218.48,0.28
CUST-000295,2025-08-31,Europe,Gold,1409.45,0.1
CUST-000296,2024-07-19,Europe,Platinum,3657.54,0.05
CUST-000297,2024-05-03,North America,Bronze,351.62,0.28
CUST-000298,2024-07-05,North America,Bronze,75.85,0.28
CUST-000299,2024-11-21,Asia Pacific,Platinum,1935.65,0.05
CUST-000300,2025-04-08,Europe,Silver,545.71,0.18
CUST-000301,2024-12-14,North America,Silver,644.51,0.18
CUST-000302,2026-02-09,North America,Silver,655.1,0.18
CUST-000303,2025-10-21,Europe,Gold,954.29,0.1
CUST-000304,2026-02-02,Europe,Gold,856.13,0.1
CUST-000305,2025-02-06,North America,Bronze,100.89,0.28
CUST-000306,2024-12-11,Latin America,Bronze,170.64,0.28
CUST-000307,2025-05-25,North America,Gold,809.81,0.1
CUST-000308,2024-05-26,Europe,Gold,1874.18,0.1
CUST-000309,2024-05-27,Asia Pacific,Silver,446.08,0.18
CUST-000310,2026-05-13,North America,Platinum,2641.3,0.05
CUST-000311,2025-12-11,Asia Pacific,Silver,340.15,0.18
CUST-000312,2026-03-30,Asia Pacific,Bronze,81.28,0.28
CUST-000313,2025-05-03,Asia Pacific,Gold,873.41,0.1
CUST-000314,2025-10-01,North America,Bronze,120.24,0.28
CUST-000315,2025-07-04,North America,Bronze,176.6,0.28
CUST-000316,2024-12-03,North America,Bronze,144.16,0.28
CUST-000317,2026-05-21,Europe,Gold,850.81,0.1
CUST-000318,2025-10-02,Asia Pacific,Platinum,2143.99,0.05
CUST-000319,2026-02-17,Asia Pacific,Bronze,136.43,0.28
CUST-000320,2025-04-17,Asia Pacific,Bronze,65.99,0.28
CUST-000321,2024-05-30,Latin America,Silver,396.27,0.18
CUST-000322,2025-02-18,Asia Pacific,Gold,1874.88,0.1
CUST-000323,2024-10-24,North America,Silver,415.34,0.18
CUST-000324,2025-09-02,North America,Silver,479.61,0.18
CUST-000325,2024-09-19,Asia Pacific,Silver,456.91,0.18
CUST-000326,2026-02-02,North America,Bronze,86.19,0.28
CUST-000327,2024-05-23,North America,Bronze,302.97,0.28
CUST-000328,2024-12-11,Europe,Bronze,127.44,0.28
CUST-000329,2025-09-15,Asia Pacific,Gold,1198.39,0.1
CUST-000330,2025-07-25,North America,Bronze,115.4,0.28
CUST-000331,2026-05-30,Asia Pacific,Silver,709.44,0.18
CUST-000332,2024-01-02,Asia Pacific,Bronze,83.69,0.28
CUST-000333,2024-10-30,Europe,Silver,757.61,0.18
CUST-000334,2024-09-10,North America,Bronze,132.81,0.28
CUST-000335,2025-10-13,North America,Bronze,121.17,0.28
CUST-000336,2025-03-28,Asia Pacific,Bronze,116.69,0.28
CUST-000337,2024-02-06,Asia Pacific,Gold,2473.86,0.1
CUST-000338,2024-06-08,Latin America,Bronze,78.94,0.28
CUST-000339,2024-01-09,Europe,Silver,363.33,0.18
CUST-000340,2024-08-20,North America,Silver,268.52,0.18
CUST-000341,2024-04-08,North America,Silver,217.94,0.18
CUST-000342,2025-10-20,Asia Pacific,Silver,758.51,0.18
CUST-000343,2026-03-26,North America,Platinum,3462.23,0.05
CUST-000344,2024-07-26,North America,Bronze,94.28,0.28
CUST-000345,2024-05-10,Europe,Bronze,208.99,0.28
CUST-000346,2025-02-07,North America,Gold,1022.29,0.1
CUST-000347,2024-05-31,North America,Bronze,115.82,0.28
CUST-000348,2024-02-23,Europe,Gold,1510.55,0.1
CUST-000349,2024-04-29,North America,Bronze,126.69,0.28
CUST-000350,2025-11-03,North America,Silver,306.17,0.18
CUST-000351,2025-09-19,Asia Pacific,Bronze,198.1,0.28
CUST-000352,2025-08-09,Asia Pacific,Gold,1134.03,0.1
CUST-000353,2025-09-16,North America,Silver,606.56,0.18
CUST-000354,2025-02-23,Asia Pacific,Bronze,127.68,0.28
CUST-000355,2025-02-25,Europe,Bronze,225.48,0.28
CUST-000356,2024-04-13,Europe,Bronze,150.84,0.28
CUST-000357,2026-05-01,Latin America,Silver,687.45,0.18
CUST-000358,2024-09-10,Asia Pacific,Bronze,226.17,0.28
CUST-000359,2024-08-14,Asia Pacific,Bronze,245.95,0.28
CUST-000360,2024-04-21,North America,Silver,462.46,0.18
CUST-000361,2025-05-24,North America,Bronze,174.81,0.28
CUST-000362,2025-04-17,Latin America,Bronze,136.78,0.28
CUST-000363,2024-04-08,Europe,Bronze,104.75,0.28
CUST-000364,2024-06-01,North America,Silver,1002.82,0.18
CUST-000365,2026-05-10,Asia Pacific,Platinum,2590.68,0.05
CUST-000366,2026-05-27,Asia Pacific,Bronze,215.42,0.28
CUST-000367,2024-12-03,Latin America,Gold,1604.23,0.1
CUST-000368,2025-12-06,North America,Bronze,161.27,0.28
CUST-000369,2026-04-01,Latin America,Bronze,140.98,0.28
CUST-000370,2024-06-11,North America,Silver,424.64,0.18
CUST-000371,2025-12-20,North America,Bronze,115.33,0.28
CUST-000372,2025-11-11,Europe,Silver,467.32,0.18
CUST-000373,2024-06-09,North America,Gold,748.09,0.1
CUST-000374,2025-08-02,North America,Platinum,4719.32,0.05
CUST-000375,2026-03-11,Asia Pacific,Bronze,136.9,0.28
CUST-000376,2025-02-01,North America,Bronze,102.09,0.28
CUST-000377,2024-10-03,North America,Platinum,2100.52,0.05
CUST-000378,2026-03-26,North America,Bronze,142.29,0.28
CUST-000379,2025-05-18,Europe,Silver,432.85,0.18
CUST-000380,2025-01-26,Europe,Bronze,121.93,0.28
CUST-000381,2024-05-14,Asia Pacific,Bronze,183.39,0.28
CUST-000382,2024-07-13,Asia Pacific,Bronze,172.43,0.28
CUST-000383,2025-02-04,Europe,Gold,1227.56,0.1
CUST-000384,2025-10-01,Asia Pacific,Gold,828.56,0.1
CUST-000385,2024-02-02,North America,Bronze,111.57,0.28
CUST-000386,2025-11-18,North America,Gold,686.39,0.1
CUST-000387,2025-04-04,Asia Pacific,Bronze,138.95,0.28
CUST-000388,2025-04-14,Europe,Bronze,187.72,0.28
CUST-000389,2025-01-09,Middle East & Africa,Gold,739.26,0.1
CUST-000390,2024-01-22,Europe,Silver,359.53,0.18
CUST-000391,2026-01-19,Asia Pacific,Bronze,146.86,0.28
CUST-000392,2025-10-31,Europe,Bronze,187.6,0.28
CUST-000393,2024-02-07,Europe,Platinum,1938.67,0.05
CUST-000394,2024-08-17,Europe,Gold,2916.2,0.1
CUST-000395,2024-12-30,Asia Pacific,Gold,1621.52,0.1
CUST-000396,2025-07-16,Europe,Bronze,118.04,0.28
CUST-000397,2025-03-13,Latin America,Gold,782.07,0.1
CUST-000398,2026-02-14,North America,Bronze,168.02,0.28
CUST-000399,2024-10-09,North America,Platinum,4227.21,0.05
CUST-000400,2024-01-27,Europe,Bronze,100.94,0.28
CUST-000401,2024-08-13,Europe,Bronze,96.06,0.28
CUST-000402,2024-10-03,Latin America,Bronze,104.93,0.28
CUST-000403,2026-03-08,North America,Gold,1231.37,0.1
CUST-000404,2025-08-31,Asia Pacific,Gold,1237.63,0.1
CUST-000405,2024-10-10,Europe,Bronze,356.51,0.28
CUST-000406,2026-05-28,Europe,Silver,189.29,0.18
CUST-000407,2025-04-25,Latin America,Gold,917.27,0.1
CUST-000408,2025-03-28,North America,Bronze,121.39,0.28
CUST-000409,2026-04-08,Europe,Gold,1457.77,0.1
CUST-000410,2026-03-26,Middle East & Africa,Platinum,4320.76,0.05
CUST-000411,2025-10-20,Latin America,Bronze,138.49,0.28
CUST-000412,2025-05-30,Europe,Bronze,274.51,0.28
CUST-000413,2025-06-30,Europe,Bronze,95.98,0.28
CUST-000414,2024-07-10,North America,Bronze,113.55,0.28
CUST-000415,2024-02-18,Europe,Silver,265.88,0.18
CUST-000416,2025-05-26,Asia Pacific,Silver,424.37,0.18
CUST-000417,2024-01-17,Asia Pacific,Silver,394.08,0.18
CUST-000418,2024-06-20,North America,Bronze,205.44,0.28
CUST-000419,2024-08-07,North America,Silver,944.49,0.18
CUST-000420,2024-06-06,North America,Silver,816.86,0.18
CUST-000421,2025-04-21,North America,Platinum,2146.05,0.05
CUST-000422,2024-02-15,North America,Bronze,153.24,0.28
CUST-000423,2025-01-07,Europe,Silver,613.39,0.18
CUST-000424,2025-06-01,North America,Gold,1567.85,0.1
CUST-000425,2024-04-08,North America,Silver,1135.71,0.18
CUST-000426,2026-01-14,Europe,Bronze,137.37,0.28
CUST-000427,2024-02-06,North America,Bronze,154.76,0.28
CUST-000428,2024-10-06,North America,Gold,2940.73,0.1
CUST-000429,2024-12-14,North America,Bronze,177.43,0.28
CUST-000430,2025-05-11,North America,Gold,945.05,0.1
CUST-000431,2024-10-28,Europe,Gold,812.54,0.1
CUST-000432,2024-06-29,North America,Bronze,163.08,0.28
CUST-000433,2025-08-29,Asia Pacific,Silver,689.45,0.18
CUST-000434,2024-04-08,Latin America,Bronze,228.64,0.28
CUST-000435,2025-11-30,Asia Pacific,Bronze,105.82,0.28
CUST-000436,2024-04-25,Europe,Silver,468.98,0.18
CUST-000437,2024-07-09,Latin America,Silver,375.74,0.18
CUST-000438,2024-09-09,Asia Pacific,Bronze,141.38,0.28
CUST-000439,2024-06-09,North America,Gold,1723.83,0.1
CUST-000440,2024-09-12,Europe,Bronze,147.03,0.28
