product_id,category,price,quality_risk
PROD-0097,Home & Kitchen,2.81,normal
PROD-0098,Office Supplies,43.04,normal
PROD-0099,Toys & Games,25.77,elevated
PROD-0100,Apparel,3.75,elevated
PROD-0101,Apparel,26.62,normal
PROD-0102,Electronics,18.87,elevated
PROD-0103,Pet Supplies,6.23,normal
PROD-0104,Toys & Games,47.38,normal
PROD-0105,Pet Supplies,96.22,normal
PROD-0106,Office Supplies,138.72,normal
PROD-0107,Beauty,32.92,normal
PROD-0108,Electronics,25.03,normal
PROD-0109,Pet Supplies,121.12,normal
PROD-0110,Apparel,30.79,elevated
PROD-0111,Apparel,18.05,elevated
PROD-0112,Electronics,13.59,elevated
PROD-0113,Toys & Games,40.38,normal
PROD-0114,Sports & Outdoors,5.62,normal
PROD-0115,Home & Kitchen,69.66,normal
PROD-0116,Office Supplies,7.02,normal
PROD-0117,Pet Supplies,11.44,elevated
PROD-0118,Office Supplies,32.4,normal
PROD-0119,Sports & Outdoors,118.04,elevated
PROD-0120,Sports & Outdoors,19.26,normal
PROD-0121,Pet Supplies,9.53,normal
PROD-0122,Sports & Outdoors,64.12,normal
PROD-0123,Office Supplies,16.5,normal
PROD-0124,Pet Supplies,5.41,normal
PROD-0125,Toys & Games,42.33,normal
PROD-0126,Sports & Outdoors,20.09,normal
PROD-0127,Home & Kitchen,19.7,normal
PROD-0128,Beauty,47.62,normal
PROD-0129,Electronics,51.67,normal
PROD-0130,Pet Supplies,12.47,normal
PROD-0131,Sports & Outdoors,27.39,normal
PROD-0132,Sports & Outdoors,6.03,elevated
PROD-0133,Electronics,19.46,normal
PROD-0134,Pet Supplies,11.14,normal
PROD-0135,Pet Supplies,20.3,normal
PROD-0136,Office Supplies,16.97,normal
PROD-0137,Office Supplies,20.83,normal
PROD-0138,Pet Supplies,5.45,normal
PROD-0139,Pet Supplies,7.49,normal
PROD-0140,Electronics,20.18,normal
PROD-0141,Office Supplies,94.16,normal
PROD-0142,Office Supplies,47.41,normal
PROD-0143,Beauty,36.26,normal
PROD-0144,Apparel,14.35,elevated
PROD-0145,Beauty,10.48,normal
PROD-0146,Apparel,43.04,normal
PROD-0147,Toys & Games,8.6,normal
PROD-0148,Home & Kitchen,106.56,normal
PROD-0149,Office Supplies,23.59,normal
PROD-0150,Beauty,150.38,normal
